Model,R²,RMSE,MAE,Training Time (s),Prediction Time (s)
MLR,0.9092589250514285,3.075399627424716,2.2631046711133895,0.25807589999999436,0.005019699999934346
KNNR,0.9492447619814168,2.3000645897198444,1.453909090909091,0.00870190000000548,0.005276799999933246
