Model,R2,RMSE,MAE,Wall_Time_s,CPU_Time_s,Memory_Change_MB
MLR,0.7835726930039905,5796.556335884077,4181.561524000791,0.016354580000097485,0.1171875,0.004296875
KNNR,0.698758664324181,6838.664775371341,3886.1295746268656,0.020190739999998188,0.1625,0.00859375
