Model,R2,RMSE,MAE,Execution_Time_Seconds,CPU_Time_Seconds,Memory_Change_MB
Multiple Linear Regression,0.988983291,2.020551509,1.611121346,0.022669,0.015625,1.609375
K-Nearest Neighbors Regression,0.976898479,2.92593233,2.3604,0.0164059,0,0.5234375
