Model,R2,RMSE,MAE,Train time (s),Train CPU time (s),Predict time (s),Train peak memory (MB),Predict peak memory (MB)
MLR (Multiple Linear Regression),0.8656,49.6242,38.3124,0.1772,0.1055,0.1356,0.4218,0.1
"KNNR (K-Nearest Neighbors, k=5)",0.5448,91.3394,70.4941,0.1486,0.0834,0.5634,0.292,0.2259
